Tract,Lat,Lon,Population,Density per acre
T0,47.727466,-122.291331,6255,15
T1,47.726673,-122.308734,7646,5
T2,47.730744,-122.335787,2603,5
T3,47.728213,-122.352721,5551,15
T4,47.717678,-122.354194,4841,15
T5,47.720704,-122.366775,3165,5
T6,47.717065,-122.327832,7626,5
T7,47.716134,-122.300443,4438,15
T8,47.711602,-122.286037,2583,5
T9,47.709381,-122.27794,2019,5
T10,47.706435,-122.296711,1941,5
T11,47.706579,-122.306423,2503,5
T12,47.707498,-122.323153,6494,15
T13,47.702743,-122.342615,4340,15
T14,47.705858,-122.362327,4848,5
T15,47.695719,-122.393822,2454,5
T16,47.697634,-122.380292,4131,5
T17,47.696627,-122.359175,8052,15
T18,47.694097,-122.342534,4535,15
T19,47.695513,-122.323998,4157,15
T20,47.695681,-122.311329,3406,15
T21,47.694821,-122.298121,3807,15
T22,47.694885,-122.281391,5286,5
T23,47.686148,-122.287963,2972,15
T24,47.682968,-122.302739,2802,15
T25,47.682682,-122.311348,4660,15
T26,47.686776,-122.33065,5289,15
T27,47.684794,-122.349713,4481,15
T28,47.684992,-122.360637,4177,15
T29,47.684907,-122.373814,5637,15
T30,47.684716,-122.39089,6219,15
T31,47.673431,-122.395863,7683,15
T32,47.675633,-122.377023,6224,15
T33,47.674315,-122.361371,3302,15
T34,47.673769,-122.353228,3936,15
T35,47.677209,-122.324622,5672,15
T36,47.678812,-122.295546,2058,15
T37,47.679231,-122.282823,2772,15
T38,47.679508,-122.267008,2690,5
T39,47.663257,-122.273558,7789,5
T40,47.670162,-122.284813,7618,15
T41,47.667279,-122.302291,7049,32.5
T42,47.668868,-122.312018,6260,25
T43,47.668371,-122.323187,2676,15
T44,47.66858,-122.334291,3251,5
T45,47.669097,-122.376576,6739,15
T46,47.661279,-122.359869,4539,15
T47,47.658082,-122.35131,6139,25
T48,47.660694,-122.342465,3600,15
T49,47.65822,-122.332125,3662,15
T50,47.659629,-122.321867,6076,25
T51,47.66162,-122.311168,7085,60
T52,47.657659,-122.307672,5706,5
T53,47.652156,-122.34002,4948,15
T54,47.643323,-122.405108,6382,5
T55,47.653985,-122.399742,6001,5
T56,47.653269,-122.38808,4743,15
T57,47.640497,-122.382497,5059,5
T58,47.647372,-122.367765,6836,15
T59,47.64341,-122.351968,5150,15
T60,47.644485,-122.322206,4796,15
T61,47.638801,-122.304392,3848,5
T62,47.635231,-122.282652,4962,5
T63,47.628706,-122.305264,3207,15
T64,47.629243,-122.319571,4157,15
T65,47.634998,-122.325764,3540,15
T66,47.632326,-122.346033,6544,25
T67,47.636139,-122.356331,2834,15
T68,47.634514,-122.367032,4080,15
T69,47.627864,-122.357485,6959,35
T70,47.622892,-122.359239,3055,15
T71,47.616695,-122.344875,5318,25
T72,47.619428,-122.332753,4668,25
T73,47.620812,-122.32485,9036,60
T74,47.620249,-122.316163,6282,35
T75,47.621897,-122.307609,3498,25
T76,47.619186,-122.297769,4476,15
T77,47.612859,-122.288016,5145,5
T78,47.614648,-122.308494,5147,25
T79,47.615634,-122.349426,5588,60
T80,47.612271,-122.344216,3013,60
T81,47.60662,-122.337405,4070,15
T82,47.610067,-122.329528,3280,35
T83,47.611671,-122.326899,2505,60
T84,47.614051,-122.324944,3760,35
T85,47.604366,-122.326128,4341,35
T86,47.606687,-122.317223,5055,25
T87,47.605719,-122.307424,3843,25
T88,47.607321,-122.297209,3503,15
T89,47.596588,-122.294969,4829,15
T90,47.599015,-122.307994,2925,15
T91,47.598602,-122.323248,2508,25
T92,47.600239,-122.329293,2825,35
T93,47.582761,-122.323247,2354,5
T94,47.587015,-122.311447,5700,15
T95,47.581449,-122.292422,5906,5
T96,47.586207,-122.388979,5252,15
T97,47.573599,-122.408867,5290,15
T98,47.57187,-122.395527,5173,5
T99,47.571844,-122.382963,6198,15
T100,47.566734,-122.368564,4787,5
T101,47.572267,-122.307988,8082,10
T102,47.56614,-122.285044,6553,15
T103,47.552304,-122.269128,4835,5
T104,47.55379,-122.282624,5940,15
T105,47.553752,-122.302714,9101,15
T106,47.557357,-122.385178,6342,15
T107,47.547132,-122.387843,7310,15
T108,47.544344,-122.368668,7064,10
T109,47.54611,-122.356282,4596,5
T110,47.545576,-122.321401,1287,5
T111,47.54011,-122.292134,9013,15
T112,47.539668,-122.276976,4390,15
T113,47.539076,-122.269187,4419,15
T114,47.526118,-122.322104,3906,5
T115,47.525822,-122.34823,5984,5
T116,47.52523,-122.362027,8201,15
T117,47.530197,-122.375714,4191,15
T118,47.529865,-122.386954,6413,5
T119,47.523278,-122.282106,5538,5
T120,47.523098,-122.267469,7383,15
T121,47.505415,-122.257943,7108,5
T122,47.512891,-122.380237,3349,5
